SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2005/1060,The Solent,B024B,Isle of Wight Council,SZ579940,Mother Bank,2005-10-24,2005-10-25,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1060
BTX/2005/1061,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2005-10-24,2005-10-25,,Hard Clams,ND,,NEGATIVE,<RL,BTX/2005/1061
BTX/2005/1062,Medina,B063B,Isle of Wight Council,SZ501951,Medina Wharf,2005-10-24,2005-10-25,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1062
BTX/2005/1063,Bigbury and Avon,B030D,South Hams DC,SX67254489,Hexdown Quay,2005-10-24,2005-10-25,,Pacific Oysters,ND,,,,BTX/2005/1063
BTX/2005/1064,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2005-10-24,2005-10-25,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1064
BTX/2005/1065,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2005-10-24,2005-10-25,,Native Oysters,INSUFFICIENT,,NEGATIVE,<RL,BTX/2005/1065
BTX/2005/1066,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2005-10-24,2005-10-25,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1066
BTX/2005/1075,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2005-10-26,2005-10-27,,Cockles,ND,,NEGATIVE,,BTX/2005/1075
BTX/2005/1090,Fleet Lagoon,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2005-10-31,2005-10-31,,Pacific Oysters,INSUFFICIENT,,NEGATIVE,<RL,BTX/2005/1090
BTX/2005/1091,Solent/Totland Bay,B024I,Isle of Wight Council,SZ43409340,Saltmead Ledge,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1091
BTX/2005/1092,The Solent,B24AX,Portsmouth PHA,SZ62239847,Haslar Wall,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1092
BTX/2005/1093,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1093
BTX/2005/1094,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1094
BTX/2005/1095,West Mersea,B013H,Colchester BC,TM00001370,Strood Channel,2005-10-31,2005-11-01,,Native Oysters,ND,INSUFFICIENT,,<RL,BTX/2005/1095
BTX/2005/1096,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1096
BTX/2005/1097,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2005-10-31,2005-11-01,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1097
BTX/2005/1098,Ravenglass,B053C,Copeland DC,SD08359610,Ravenglass 2,2005-10-31,2005-11-01,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1098
BTX/2005/1099,Taw/Torridge,B036N,Torridge DC,SS466305,Appledore Lifeboat slip,2005-10-31,2005-11-01,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1099
BTX/2005/1102,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2005-11-01,2005-11-02,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1102
BTX/2005/1103,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2005-11-01,2005-11-02,,Pacific Oysters,ND,,NEGATIVE,<RL,BTX/2005/1103
BTX/2005/1104,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2005-11-01,2005-11-02,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1104
BTX/2005/1105,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2005-11-01,2005-11-02,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1105
BTX/2005/1106,Roach,B073H,London PHA,TQ948934,Paglesham Reach,2005-11-01,2005-11-02,,Native Oysters,ND,,NEGATIVE,<RL,BTX/2005/1106
BTX/2005/1107,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2005-11-01,2005-11-02,,Mussels,ND,,NEGATIVE,<RL,BTX/2005/1107
